                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                  1.298,                 1.0359,                 1.5485,                0.93924,                0.91005,                0.97083,                0.69931,                 1.1994,                 1.0553,                 1.4627,               0.001684,               0.001684,               0.001684
                     86,                 1.2702,                 1.0075,                 1.5321,                 0.9307,                0.90055,                0.97286,                0.68638,                 1.2193,                0.98618,                 1.4662,               0.001585,               0.001585,               0.001585
                     87,                 1.2893,                  1.021,                 1.5428,                0.94663,                0.91057,                0.97432,                0.69513,                 1.2283,                0.96162,                 1.4706,               0.001486,               0.001486,               0.001486
                     88,                 1.2892,                0.99082,                 1.5161,                 0.9353,                0.91675,                0.97687,                0.70139,                 1.2395,                0.93271,                 1.4796,               0.001387,               0.001387,               0.001387
                     89,                 1.2715,                 1.0058,                 1.5202,                0.89147,                0.91869,                0.96828,                 0.6894,                 1.2241,                0.98639,                 1.4821,               0.001288,               0.001288,               0.001288
                     90,                 1.0569,                0.78355,                  1.411,                 0.9142,                0.90115,                0.96367,                 0.7012,                 1.1855,                0.95231,                 1.4691,               0.001189,               0.001189,               0.001189
                     91,                  1.055,                0.76612,                 1.3932,                0.95062,                0.86204,                0.95711,                0.69982,                 1.2034,                0.90286,                 1.4758,                0.00109,                0.00109,                0.00109
                     92,                 1.0244,                0.73902,                  1.362,                0.91597,                0.90075,                0.96671,                0.69855,                  1.188,                0.88653,                 1.4671,               0.000991,               0.000991,               0.000991
                     93,                 1.0002,                0.72646,                 1.3365,                0.91222,                0.90084,                0.96537,                0.69565,                 1.1772,                0.91495,                 1.4445,               0.000892,               0.000892,               0.000892
                     94,                0.99599,                0.72135,                 1.3397,                0.91882,                0.92282,                0.96155,                0.70745,                 1.1604,                0.94432,                 1.4354,               0.000793,               0.000793,               0.000793
                     95,                 1.0197,                 0.7169,                  1.353,                0.91911,                0.93621,                0.96697,                0.70108,                 1.1887,                0.90944,                 1.4469,               0.000694,               0.000694,               0.000694
                     96,                0.98871,                 0.6961,                 1.3444,                0.91128,                0.94592,                0.97051,                0.71684,                 1.1635,                0.85473,                 1.4306,               0.000595,               0.000595,               0.000595
                     97,                0.99674,                 0.6992,                 1.3536,                0.94966,                0.90102,                0.96793,                0.71646,                  1.171,                0.85966,                 1.4339,               0.000496,               0.000496,               0.000496
                     98,                0.98187,                0.69023,                 1.3165,                0.93092,                0.90511,                0.96487,                0.71012,                 1.1735,                0.87282,                 1.4391,               0.000397,               0.000397,               0.000397
                     99,                0.95858,                0.66618,                 1.3207,                 0.9341,                0.91808,                0.96483,                0.70585,                 1.1875,                0.85303,                 1.4426,               0.000298,               0.000298,               0.000298
